,,,,,,,,
,,,,,,,,
CLICLO,Ponto,BAIRRO,OCORRÊNCIAS,Total,% ,,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,VIDRO - RISCADO,5,"0,12%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,VIDRO - RESINA,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,VIDRO - PICHAÇÃO,2,"0,05%",,PONTO,QUANTIDADE
2 BI,ABRIGOS,ALTO DE PINHEIROS,VIDRO - COLAGEM,1,"0,02%",,ABRIGOS,2.133
2 BI,ABRIGOS,ALTO DE PINHEIROS,VIDRO - ANTEPARO AUSENTE,1,"0,02%",,TOTENS,3.109
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - INEXISTENTE/SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - COM FERRUGEM,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - COM COLAGEM,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,TOTEM - ABAIXO DO PERMITIDO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PISO - SUJO,3,"0,07%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PISO - PODOTATIL DANIFICADO,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PISO - PODOTATIL AUSENTE,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PISO - ENTORNO INADEQUADO,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PAINEL - VIDRO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PAINEL - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ITINERARIO - PICTOGRAMA DANIFICADO,4,"0,10%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ITINERARIO - DANIFICADO PARCIALMENTE,20,"0,49%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ITINERARIO - AUSENTE,23,"0,57%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - BANCO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - POSTE AUXILIAR SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - LUMINÁRIA DANIFICADA,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - LUMINÁRIA ACESA DE DIA,11,"0,27%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,1,"0,02%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - FIAÇÃO EXPOSTA,3,"0,07%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,ELÉTRICA - CAIXA ATERRAMENTO SEM TAMPA,,"0,00%",,,
