FILIAL,SEMANA,NOVO/PERMANECE,PENDENCIA,DANIFICADOS,BONIFICAÇÃO,Total
FILIAL LESTE,9,NOVO,OK,OK,VENDA,169
FILIAL LESTE,9,NOVO,ITEM PENDENTE,OK,VENDA,26
FILIAL LESTE,9,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,9,PERMANECE,OK,OK,VENDA,578
FILIAL LESTE,9,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,10,NOVO,OK,DANIFICADO,VENDA,3
FILIAL LESTE,10,NOVO,OK,OK,VENDA,421
FILIAL LESTE,10,NOVO,ITEM PENDENTE,OK,VENDA,36
FILIAL LESTE,10,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,10,PERMANECE,OK,OK,VENDA,298
FILIAL LESTE,10,PERMANECE,ITEM PENDENTE,OK,VENDA,16
FILIAL LESTE,11,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,11,NOVO,OK,OK,VENDA,367
FILIAL LESTE,11,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,11,NOVO,ITEM PENDENTE,OK,VENDA,62
FILIAL LESTE,11,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,11,PERMANECE,OK,OK,VENDA,327
FILIAL LESTE,11,PERMANECE,ITEM PENDENTE,OK,VENDA,8
FILIAL LESTE,12,NOVO,OK,OK,VENDA,242
FILIAL LESTE,12,NOVO,ITEM PENDENTE,OK,VENDA,9
FILIAL LESTE,12,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,12,PERMANECE,OK,OK,VENDA,295
FILIAL LESTE,12,PERMANECE,ITEM PENDENTE,OK,VENDA,221
FILIAL LESTE,13,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,13,NOVO,OK,OK,VENDA,260
FILIAL LESTE,13,NOVO,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,13,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,13,PERMANECE,OK,OK,VENDA,497
FILIAL LESTE,13,PERMANECE,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,14,NOVO,OK,DANIFICADO,VENDA,2
FILIAL LESTE,14,NOVO,OK,OK,VENDA,567
FILIAL LESTE,14,NOVO,OK,OUTROS,VENDA,3
FILIAL LESTE,14,NOVO,ITEM PENDENTE,OK,VENDA,28
FILIAL LESTE,14,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,14,PERMANECE,OK,OK,VENDA,161
FILIAL LESTE,14,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,14,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,15,NOVO,OK,OK,VENDA,246
FILIAL LESTE,15,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,15,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,15,PERMANECE,OK,OK,VENDA,515
FILIAL LESTE,15,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,15,PERMANECE,ITEM PENDENTE,OK,VENDA,3
FILIAL LESTE,16,NOVO,OK,OK,VENDA,377
FILIAL LESTE,16,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,16,NOVO,ITEM PENDENTE,OK,VENDA,1
FILIAL LESTE,16,PERMANECE,OK,OK,VENDA,388
FILIAL LESTE,16,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,16,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,17,NOVO,OK,OK,VENDA,400
FILIAL LESTE,17,NOVO,ITEM PENDENTE,OK,VENDA,14
FILIAL LESTE,17,NOVO,ITEM PENDENTE,OUTROS,VENDA,2
FILIAL LESTE,17,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,17,PERMANECE,OK,OK,VENDA,340
FILIAL LESTE,17,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,17,PERMANECE,ITEM PENDENTE,OK,VENDA,12
FILIAL LESTE,18,NOVO,OK,OK,VENDA,442
FILIAL LESTE,18,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,18,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,18,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,18,PERMANECE,OK,OK,VENDA,316
FILIAL LESTE,18,PERMANECE,ITEM PENDENTE,OK,VENDA,8
FILIAL LESTE,19,NOVO,OK,OK,VENDA,569
FILIAL LESTE,19,NOVO,ITEM PENDENTE,OK,VENDA,7
FILIAL LESTE,19,PERMANECE,OK,OK,VENDA,192
FILIAL LESTE,19,PERMANECE,ITEM PENDENTE,OK,VENDA,2
