,,,,,,,,,,,,,,,,
,,1º BI,,,,,,,,2º BI,,,,,,
,,,,Valores,,,,,,,,Valores,,,,
,,FILIAL,SEMANA,PREVISTO,CONCLUIDO,PENDENTE,SEMANA CONCLUIDO,% REALIZADOS,,FILIAL,SEMANA,PREVISTO,CONCLUIDO,PENDENTE,SEMANA CONCLUIDO,% REALIZADOS
,,FILIAL LESTE,01º SEMANA,"848,00","848,00","0,00","191,00",23%,,FILIAL LESTE,1º SEMANA,"527,00","526,00","1,00","497,00",94%
,,FILIAL LESTE,02º SEMANA,"847,00","847,00","0,00","385,00",45%,,FILIAL LESTE,2º SEMANA,"846,00","841,00","5,00","566,00",67%
,,FILIAL LESTE,03º SEMANA,"861,00","861,00","0,00","739,00",86%,,FILIAL LESTE,3º SEMANA,"837,00","834,00","3,00","697,00",83%
,,FILIAL LESTE,04º SEMANA,"848,00","790,00","58,00","612,00",72%,,FILIAL LESTE,4º SEMANA,"847,00","846,00","1,00","834,00",98%
,,FILIAL LESTE,05º SEMANA,"844,00","843,00","1,00","981,00",116%,,FILIAL LESTE,5º SEMANA,"841,00","651,00","190,00","757,00",90%
,,FILIAL LESTE,06º SEMANA,"848,00","848,00","0,00","927,00",109%,,FILIAL LESTE,6º SEMANA,"828,00","673,00","155,00","939,00",113%
,,FILIAL LESTE,07º SEMANA,"842,00","842,00","0,00","839,00",100%,,FILIAL LESTE,7º SEMANA,"864,00","306,00","558,00","678,00",78%
,,FILIAL LESTE,08º SEMANA,"869,00","837,00","32,00","1.027,00",118%,,FILIAL LESTE,8º SEMANA,"852,00","147,00","705,00",,0%
,,FILIAL LESTE,09º SEMANA,"528,00","446,00","82,00","1.461,00",150%,,FILIAL LESTE,9º SEMANA,"518,00","138,00","380,00",,0%
,,FILIAL SUL,01º SEMANA,"840,00","838,00","2,00","817,00",97%,,FILIAL SUL,1º SEMANA,"818,00","779,00","39,00","791,00",97%
,,FILIAL SUL,02º SEMANA,"840,00","840,00","0,00","812,00",97%,,FILIAL SUL,2º SEMANA,"934,00","931,00","3,00","1.012,00",108%
,,FILIAL SUL,03º SEMANA,"840,00","840,00","0,00","1.024,00",122%,,FILIAL SUL,3º SEMANA,"1.141,00","1.129,00","12,00","992,00",87%
,,FILIAL SUL,04º SEMANA,"840,00","840,00","0,00","881,00",105%,,FILIAL SUL,4º SEMANA,"835,00","835,00","0,00","854,00",102%
,,FILIAL SUL,05º SEMANA,"840,00","840,00","0,00","632,00",75%,,FILIAL SUL,5º SEMANA,"831,00","831,00","0,00","803,00",97%
,,FILIAL SUL,06º SEMANA,"840,00","836,00","4,00","726,00",86%,,FILIAL SUL,6º SEMANA,"828,00","731,00","97,00","762,00",92%
,,FILIAL SUL,07º SEMANA,"814,00","813,00","1,00","986,00",121%,,FILIAL SUL,7º SEMANA,"809,00","685,00","124,00","739,00",91%
,,FILIAL SUL,08º SEMANA,"672,00","672,00","0,00","528,00",79%,,FILIAL SUL,8º SEMANA,"661,00",,"661,00",,0%
,,MATRIZ,01º SEMANA,"848,00","848,00","0,00","592,00",70%,,MATRIZ,1º SEMANA,"1.158,00","776,00","382,00","589,00",51%
,,MATRIZ,02º SEMANA,"848,00","826,00","22,00","463,00",55%,,MATRIZ,2º SEMANA,"737,00","690,00","47,00","587,00",80%
,,MATRIZ,03º SEMANA,"862,00","772,00","90,00","1.197,00",139%,,MATRIZ,3º SEMANA,"546,00","509,00","37,00","642,00",118%
,,MATRIZ,04º SEMANA,"879,00","873,00","6,00","709,00",81%,,MATRIZ,4º SEMANA,"875,00","855,00","20,00","842,00",96%
,,MATRIZ,05º SEMANA,"880,00","838,00","42,00","658,00",75%,,MATRIZ,5º SEMANA,"866,00","857,00","9,00","637,00",74%
,,MATRIZ,06º SEMANA,"880,00","869,00","11,00","732,00",83%,,MATRIZ,6º SEMANA,"872,00","760,00","112,00","610,00",70%
,,MATRIZ,07º SEMANA,"880,00","868,00","12,00","745,00",85%,,MATRIZ,7º SEMANA,"873,00","83,00","790,00","649,00",74%
,,MATRIZ,08º SEMANA,"686,00","566,00","120,00","643,00",94%,,MATRIZ,8º SEMANA,"681,00",,"681,00",,0%
,,MATRIZ,09º SEMANA,"196,00","196,00","0,00","917,00",250%,,MATRIZ,9º SEMANA,"196,00",,"196,00",,0%
,,,,,,,,"0,97",,,,,,,,
