,,,,,,
,,,,,,
,Ponto,FILIAL,BAIRRO,OCORRÊNCIAS,Total,% 
,ABRIGOS,FILIAL LESTE,AGUA RASA,CAIXA DO PAINEL  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  DANIFICADA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  SEM PLACAS,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  INFILTRAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  SUJA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  CAIXA ATERRAMENTO SEM TAMPA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  CAIXA ENERGIA DANIFICADA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  FIAÇÃO POSTE DESCONECTADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  FIAÇÃO EXPOSTA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  LUMINÁRIA ACESA DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  LUMINÁRIA AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  LUMINÁRIA DANIFICADA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  POSTE AUXILIAR SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  BANCO PICHADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  BANCO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  PINTURA RISCADA/DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  SPIDER,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ITINERARIO  AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ITINERARIO  DANIFICADO PARCIALMENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ITINERARIO  PICTOGRAMA DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  FERRUGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  ILUMINADO DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  INEXISTENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PISO  ENTORNO INADEQUADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PISO  PODOTATIL AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  COM COLAGEM,,"0,00%"
