OFS,ELT,N ELETRO,REGIÃO,BAIRRO,ENDEREÇO,EQUIPAMENTO,LATITUDE,LONGITUDE,FILIAL,OCORRÊNCIAS,TIPO DE OCORRÊNCIAS,MANUTENÇÃO,STATUS,%
910395,20138800,T11308,LESTE,TATUAPE,"RUA TUIUTI, 2750",TOTEM MARROM,-23.549.718,-46.573.335,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910420,20138822,T11307,LESTE,TATUAPE,"RUA TUIUTI, 2440",TOTEM MARROM,-23.546.881,-46.573.986,FILIAL LESTE,Estrutura Abrigo,Colagem,Preventiva,1,0%
910420,20138822,T11307,LESTE,TATUAPE,"RUA TUIUTI, 2440",TOTEM MARROM,-23.546.881,-46.573.986,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Vidro,Pichação,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Vidro,Colagem,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Cobertura,Danificada,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Colagem,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Danificada,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Piso,Podotatil Ausente,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Cobertura,Suja,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Cobertura,Ferrugem,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Sujo,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Desnível,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Assento com Desnível,Corretiva,1,0%
910610,20138959,T11273,LESTE,TATUAPE,"RUA COELHO LISBOA, 305",TOTEM MARROM,-23.546.956,-46.572.248,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
910610,20138959,T11273,LESTE,TATUAPE,"RUA COELHO LISBOA, 305",TOTEM MARROM,-23.546.956,-46.572.248,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910610,20138959,T11273,LESTE,TATUAPE,"RUA COELHO LISBOA, 305",TOTEM MARROM,-23.546.956,-46.572.248,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910640,20138974,T18230,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 439",TOTEM MARROM,-2.354.858,-46.570.492,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910640,20138974,T18230,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 439",TOTEM MARROM,-2.354.858,-46.570.492,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910690,20138995,T11297,LESTE,TATUAPE,"RUA SERRA DO JAPI, 1332",TOTEM MARROM,-235.511,-46.567.724,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910690,20138995,T11297,LESTE,TATUAPE,"RUA SERRA DO JAPI, 1332",TOTEM MARROM,-235.511,-46.567.724,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910707,20139002,A02759,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO (RUA OTELO RIZZO), 55",CAOS ESTRUTURADO,-23.552.789,-46.566.541,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
910707,20139002,A02759,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO (RUA OTELO RIZZO), 55",CAOS ESTRUTURADO,-23.552.789,-46.566.541,FILIAL LESTE,Estrutura Abrigo,Ferrugem,Corretiva,1,0%
910714,20139006,T11809,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO, 180",TOTEM MARROM,-23.552.958,-46.565.717,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
910714,20139006,T11809,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO, 180",TOTEM MARROM,-23.552.958,-46.565.717,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910714,20139006,T11809,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO, 180",TOTEM MARROM,-23.552.958,-46.565.717,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
