,FILIAL,SEMANA,MODELO,PREVISTO,SEMANA CONCLUIDO,PENDENTE,% TOTAL,acum. Previsão,acum. Conclusão,% individual
,FILIAL LESTE,03º SEMANA,BRUTALISTA LEVE,"0,00","10,00","-10,00",0%,0,10,0%
,FILIAL LESTE,04º SEMANA,BRUTALISTA LEVE,"6,00","12,00","-6,00",200%,6,22,367%
,FILIAL LESTE,05º SEMANA,BRUTALISTA LEVE,"15,00","12,00","3,00",80%,21,34,162%
,FILIAL LESTE,06º SEMANA,BRUTALISTA LEVE,"16,00","4,00","12,00",25%,37,38,103%
,FILIAL LESTE,07º SEMANA,BRUTALISTA LEVE,"7,00","0,00","7,00",0%,44,38,86%
,FILIAL LESTE,08º SEMANA,BRUTALISTA LEVE,"15,00","4,00","11,00",27%,59,42,71%
,FILIAL LESTE,09º SEMANA,BRUTALISTA LEVE,"9,00","0,00","9,00",0%,68,42,62%
,FILIAL LESTE,10º SEMANA,BRUTALISTA LEVE,"18,00","9,00","9,00",50%,86,51,59%
,FILIAL LESTE,11º SEMANA,BRUTALISTA LEVE,"0,00","2,00","-2,00",0%,86,53,62%
,FILIAL LESTE,12º SEMANA,BRUTALISTA LEVE,"5,00","4,00","1,00",80%,91,57,63%
,FILIAL LESTE,13º SEMANA,BRUTALISTA LEVE,"42,00","5,00","37,00",12%,133,62,47%
,FILIAL LESTE,14º SEMANA,BRUTALISTA LEVE,"59,00","13,00","46,00",22%,192,65,34%
,FILIAL LESTE,15º SEMANA,BRUTALISTA LEVE,"33,00","57,00","-24,00",173%,225,65,29%
,FILIAL LESTE,16º SEMANA,BRUTALISTA LEVE,"21,00","31,00","-10,00",148%,246,65,26%
,FILIAL LESTE,17º SEMANA,BRUTALISTA LEVE,"58,00","22,00","36,00",38%,304,65,21%
,FILIAL LESTE,18º SEMANA,BRUTALISTA LEVE,"47,00","3,00","44,00",6%,351,65,19%
,FILIAL LESTE,19º SEMANA,BRUTALISTA LEVE,"10,00","1,00","9,00",10%,361,65,18%
,FILIAL LESTE,20º SEMANA,BRUTALISTA LEVE,"25,00","0,00","25,00",0%,386,65,17%
,FILIAL LESTE,21º SEMANA,BRUTALISTA LEVE,"15,00","0,00","15,00",0%,401,65,16%
,FILIAL LESTE,22º SEMANA,BRUTALISTA LEVE,"0,00","0,00","0,00",0%,401,65,16%
,FILIAL LESTE,03º SEMANA,CAOS ESTRUTURADO,"10,00","4,00","6,00",40%,10,4,40%
,FILIAL LESTE,04º SEMANA,CAOS ESTRUTURADO,"5,00","12,00","-7,00",240%,15,16,107%
,FILIAL LESTE,05º SEMANA,CAOS ESTRUTURADO,"0,00","1,00","-1,00",0%,15,17,113%
,FILIAL LESTE,06º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,17,113%
,FILIAL LESTE,07º SEMANA,CAOS ESTRUTURADO,"0,00","2,00","-2,00",0%,15,19,127%
,FILIAL LESTE,08º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,19,127%
,FILIAL LESTE,09º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,19,127%
,FILIAL LESTE,10º SEMANA,CAOS ESTRUTURADO,"0,00","9,00","-9,00",0%,15,28,187%
,FILIAL LESTE,11º SEMANA,CAOS ESTRUTURADO,"0,00","1,00","-1,00",0%,15,29,193%
,FILIAL LESTE,12º SEMANA,CAOS ESTRUTURADO,"0,00","10,00","-10,00",0%,15,39,260%
,FILIAL LESTE,13º SEMANA,CAOS ESTRUTURADO,"0,00","1,00","-1,00",0%,15,40,267%
,FILIAL LESTE,14º SEMANA,CAOS ESTRUTURADO,"0,00","7,00","-7,00",0%,15,43,287%
,FILIAL LESTE,15º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,43,287%
,FILIAL LESTE,16º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,43,287%
,FILIAL LESTE,17º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,43,287%
,FILIAL LESTE,18º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,43,287%
