Nº Eletro,Nº Parada,Nº Parada,SEP,Endereço,Bairro,Latitude,Longitude,Filial,Modelo de Abrigo,QTDE. CAIXA DIGITAL,FACE DIGITAL,DIGITAL  POSIÇÃO,DIGITAL TIPO,TIPO DE PAINEL DIGITAL,QTDE. CAIXA ESTATICA, FACE ESTATICA,ESTATICO POSIÇÃO,ESTATICO  TIPOS,OBSERVAÇÃO
A01516,720010451,720010451,,"RUA JOAO ALFREDO (RUA CARLOS GOMES ), 177",SANTO AMARO,"-23,657252","-46,700697",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01517,7206949,7206949,33498,"AVENIDA DOUTOR CHUCRI ZAIDAN SHOPPING MORUMBI (B/C), OP 1170",SANTO AMARO,"-23,623952","-46,699983",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE/DD,1,1,180°,SIMPLES,
A01519,7206791,7206791,43149,"RUA PADRE JOSE DE ANCHIETA (RUA CARLOS A CAMPOS ), OP 190",SANTO AMARO,"-23,647019","-46,706727",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE/AA,,,,,
A01520,3407168,3407168,30848,"AVENIDA DOUTOR CHUCRI ZAIDAN SHOPPING MORUMBI (C/B), SN",SANTO AMARO,"-23,62333","-46,699607",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (DS),,,,,
A01522,720011735,720011735,,"RUA VERBO DIVINO (RUA ANDRÉ PINHEIRO ), 713",SANTO AMARO,"-23,634621","-46,70281",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01523,790015506,790015506,,"AVENIDA ARATAS (AVENIDA MOREIRA GUIMARÃES), 1104",SAUDE,"-213,613722","-46,657649",Sul,CAOS LEVE,,,,,,,,,,
A01524,790015334,790015334,,"AVENIDA ARATAS (ALAMEDA DOS QUATAS ), 1815",SAUDE,"-23,617887","-46,652252",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01525,790016092,790016092,33166,"AVENIDA BOSQUE DA SAUDE (RUA BERTIOGA ), OP 530",SAUDE,"-23,611682","-46,633279",Sul,CAOS LEVE,1,1,45°,SIMPLES,CHINA,1,1,180°,SUSPENSO,
A01526,790016097,790016097,,"AVENIDA BOSQUE DA SAUDE (AVENIDA ITABORAÍ ), OP 834",SAUDE,"-23,611277","-46,630075",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01527,790016095,790016095,,"AVENIDA BOSQUE DA SAUDE (RUA IBIRAREMA ), 1031",SAUDE,"-23,612203","-46,628634",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01529,270016986,270016986,32648,"AVENIDA DOUTOR RICARDO JAFET (ESTACAO SANTOS/IMIGRANTES), SN",CURSINO,"-23,595833","-46,621399",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,BOE (AA),,,,,
A01530,920016959,920016959,,"AVENIDA DOUTOR RICARDO JAFET (PRACA MANOEL RODRIGUES SECIO), 944",VILA MARIANA,"-23,584024","-46,617924",Sul,CAOS ESTRUTURADO,,,,,,1,1,180°,SUSPENSO,
A01531,920016961-1,920016961,,"AVENIDA DOUTOR RICARDO JAFET (OPOSTO EXTRA), 1550",VILA MARIANA,"-23,590409","-46,620561",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
